Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,HYY06,065,El Viento (2nd Color),X-Raycers,6/10,Picture,2025_X-Raycers_123.jpg,,,
2025,HYW20,066,Street Shrieker,Hot Wheels Let's RaceNew for 2025!,3/5,Picture,2025_Hot_Wheels_Let's_RaceNew_for_2_124.jpg,,,
2025,HYX12,067,Rodger Dodger,Hot Wheels Let's Race,4/5,Picture,2025_Hot_Wheels_Let's_Race_125.jpg,,,
2025,JHV10,068,Draggin' Wagon,HW Ride-Ons,3/5,Picture,2025_HW_Ride-Ons_126.jpg,,,
2025,HYX69,068,Draggin' Wagon (2nd Color),HW Ride-Ons,3/5,Picture,2025_HW_Ride-Ons_127.jpg,,,
2025,HYX14,069,Hi-Roller,Rod Squad,5/10,Picture,2025_Rod_Squad_128.jpg,,,
2025,HYX70,069,Hi-Roller (2nd Color),Rod Squad,5/10,Picture,2025_Rod_Squad_129.jpg,,,
2025,HYX15,070,HW50 Concept,Rod Squad,6/10,Picture,2025_Rod_Squad_130.jpg,,,
2025,HYX71,070,HW50 Concept (2nd Color),Rod Squad,6/10,Picture,2025_Rod_Squad_131.jpg,,,
2025,HYX16,071,Punk Rod,HW Modified,3/5,Picture,2025_HW_Modified_132.jpg,,,
2025,HYX72,071,Punk Rod (2nd Color),HW Modified,3/5,Picture,2025_HW_Modified_133.jpg,,,
2025,HYY16,071,Punk Rod (3rd Color - Zamac),HW ModifiedWalmart Exclusive,3/5,Picture,2025_HW_ModifiedWalmart_Exclusive_134.jpg,,,
2025,HYW15,072,Cupra e-Racer,HW EVNew for 2025!,4/10,Picture,2025_HW_EVNew_for_2025!_135.jpg,,,
2025,HYX46,072,Cupra e-Racer (2nd Color),HW EVNew for 2025!,4/10,Picture,2025_HW_EVNew_for_2025!_136.jpg,,,
2025,JBB16,073,2020 Ford Mustang Shelby GT500,Mustang 60th,2/5,Picture,2025_Mustang_60th_137.jpg,,,
2025,HYY41,073,2020 Ford Mustang Shelby GT500 (2nd Color),Red EditionTarget Exclusive,4/12,Picture,2025_Red_EditionTarget_Exclusive_138.jpg,,,
2025,HYX17,074,Porsche 911 GT3,HW Race Day,1/10,Picture,2025_HW_Race_Day_139.jpg,,,
2025,HYX19,075,Jaguar Mk1,HW Race Day,2/10,Picture,2025_HW_Race_Day_140.jpg,,,
2025,JBB58,075,Jaguar Mk1 (2nd Color),HW Race Day,2/10,,2025_HW_Race_Day_141.jpg,,,
2025,HYX20,076,'74 Brazilian Dodge Charger,HW Celebration RacersInternational Women's Day,3/10,,2025_HW_Celebration_RacersInternati_142.jpg,,,
